ORIGINAL
cielo,hanaq pacha
fuego,nina
agua,unu
viento,wayra
tierra,allpa
vida,kawsay
arbol,mallki
cerro,urqu
valle,q'uñijallp'a
flor,t'ika
piedra,rumi
corazón,sunqu
amor,khuyay
felicidad,kusisami
sol,inti
luna,killa
estrella,ch'aska
caballo,uywa
mariposa,pillpa
vicuña,wari 
alpaca,paqu
raiz,saphi
semilla,muqu
laguna,qhucha
río,mayu
lluvia,para
llovizna,chirapa
baile,tusuy
fiesta,raymi
sueño,musquy
camino,ñan
calle,kikllu
hombre,qhari
mujer,warmi
casa,wasi
puerta,punku
asiento,tiyana
cama,puñuna
mesa,hamp'ara
pared,pirqa
sangre,yawar
fuerza,kallpa
sal,kachi
mundo,t'iqsimuyu
arena,aqu
ladera,qhata
manantial,pukyu
peña,qaqa
catarata,paqcha
volcán,are
rocío,chhulla
arco iris,k'uychi
granizo,chikchi
garua,iphu
relámpago,illapa
frio,chiri
calor,q'uñi
noche,tuta
día,p'unchaw
selva,yunka

SEMMANA
domingo,intichay
lunes,killachay
martes,antichay
miércoles,quyllurchay
jueves,illapachay
viernes,ch'askachay
sábado,k'uychichay

COLOR
color,llimp'i
rojo,puka
verde,q'umir
azul,anqas
blanco,yuraq
negro,yana
gris,uqi
castaño,ch'umpi
morado,kulli
rosado,panti
amarillo,q'illu
moteado,ch'iqchi

UERPO
cabeza,uma
cabello,chukcha
cara,uya
ojo,ñawi
pestaña,qhichipra
ceja,qhiñipa
nariz,sinqa
boca,simi
labio superior,sirphi
labio inferior,wirp'a
diente,kiru
lengua,qallu
cuello,kunka
tronco,kurku
pecho,qhasqu
estómago,wiksa
cintura,wiqaw
cadera,t'iqni
hombro,rikra
brazo,mak'a
codo,kukuchu
mano,maki
palma,maki qucha
dedo,rukana
uña,sillu
muslo,rakhu chaka
pierna,chaka
rodilla,qunquri
pie,chaki
VERB
lavar (cara),upay
lavar (cabello y ropa),t´aqsay
lavar (boca y dientes),muqch´iy
lavar,maqchiy
cocinar,wayk´uy
comer,mikuy
beber,upyay
cortar,kuchuy
mover,kuyuy
llorar,waqay
cantar,takiy
bailar,tusuy
mirar,qhaway
llamar,waqhay
dormir,puñuy
hablar,rimay
escribir,qillqay
trabajar,llamk´ay
descansar,samay
caminar,puriy
subir,wichay
bajar,uray
sentar,tiyay
parar,sayay
sacar,hurquy
meter,winay
ir,riy
venir,hamuy
dar,quy
entrar,haykuy
salir,lluqsiy
abrir,kichay
cerrar,wisqay
nacer,paqariy
morir,wañuy
levantar,hatariy
hechar,kumpay
florecer,t´ikariy
volar,phaway
